col1,col2,col3,col4,col5
29073,9.83,-3624,98,0
7916,9.83,-3624,98,0
31201,9.83,-3624,98,0
5570,9.83,-3624,98,0
5392,9.83,-3624,98,0
76127,9.83,-3624,98,0
78175,9.83,-3624,98,0
48952,9.83,-3624,98,0
79193,9.83,-3624,98,0
98897,9.83,-3624,98,0
38586,9.83,-3624,98,0
4354,9.83,-3624,98,0
35567,9.83,-3624,98,0
85352,9.83,-3624,98,0
79551,9.83,-3624,98,0
28577,9.83,-3624,98,0
24312,9.83,-3624,98,0
38898,9.83,-3624,98,0
70068,9.83,-3624,98,0
35315,9.83,-3624,98,0
81529,9.83,-3624,98,0
51432,9.83,-3624,98,0
95536,9.83,-3624,98,0
45516,9.83,-3624,98,0
17583,9.83,-3624,98,0
86719,9.83,-3624,98,0
72490,9.83,-3624,98,0
73865,9.83,-3624,98,0
92762,9.83,-3624,98,0
28575,9.83,-3624,98,0
93377,9.83,-3624,98,0
21003,9.83,-3624,98,0
25703,9.83,-3624,98,0
10838,9.83,-3624,98,0
72727,9.83,-3624,98,0
27550,9.83,-3624,98,0
81940,9.83,-3624,98,0
7439,9.83,-3624,98,0
20187,9.83,-3624,98,0
32672,9.83,-3624,98,0
13080,9.83,-3624,98,0
80993,9.83,-3624,98,0
98528,9.83,-3624,98,0
75598,9.83,-3624,98,0
76713,9.83,-3624,98,0
12820,9.83,-3624,98,0
34977,9.83,-3624,98,0
23096,9.83,-3624,98,0
12068,9.83,-3624,98,0
69800,9.83,-3624,98,0
62901,9.83,-3624,98,0
37805,9.83,-3624,98,0
44149,9.83,-3624,98,0
28432,9.83,-3624,98,0
18720,9.83,-3624,98,0
12710,9.83,-3624,98,0
20184,9.83,-3624,98,0
73832,9.83,-3624,98,0
38363,9.83,-3624,98,0
52732,9.83,-3624,98,0
610,9.83,-3624,98,0
24943,9.83,-3624,98,0
42542,9.83,-3624,98,0
14704,9.83,-3624,98,0
17251,9.83,-3624,98,0
69781,9.83,-3624,98,0
34439,9.83,-3624,98,0
87286,9.83,-3624,98,0
50814,9.83,-3624,98,0
78986,9.83,-3624,98,0
78366,9.83,-3624,98,0
50281,9.83,-3624,98,0
14905,9.83,-3624,98,0
88729,9.83,-3624,98,0
81017,9.83,-3624,98,0
72308,9.83,-3624,98,0
71396,9.83,-3624,98,0
35428,9.83,-3624,98,0
45838,9.83,-3624,98,0
37082,9.83,-3624,98,0
82983,9.83,-3624,98,0
16754,9.83,-3624,98,0
29292,9.83,-3624,98,0
67821,9.83,-3624,98,0
76317,9.83,-3624,98,0
8201,9.83,-3624,98,0
58245,9.83,-3624,98,0
58126,9.83,-3624,98,0
6144,9.83,-3624,98,0
16631,9.83,-3624,98,0
73027,9.83,-3624,98,0
89356,9.83,-3624,98,0
65296,9.83,-3624,98,0
87137,9.83,-3624,98,0
93532,9.83,-3624,98,0
62409,9.83,-3624,98,0
